chunk_id,document_id,document_version,title,intent,owner,effective_date,source_url,chunk_position,chunk_text,corpus_snapshot_id,chunking_version
DOC-ADV-002:1.1:c001,DOC-ADV-002,1.1,Changing an Academic Program,advising,Academic Advising,2026-01-01,https://example.edu/advising/change-major,1,"Students considering a change of major or academic program should meet with Academic Advising to discuss requirements, credit impact, and an updated graduation plan before submitting a program-change request.",campus-corpus-0ccec5480a20,word-window-v1
DOC-ADV-003:1.0:c001,DOC-ADV-003,1.0,Prerequisite Questions,advising,Academic Advising,2026-01-01,https://example.edu/advising/prerequisites,1,"Course prerequisites are listed in the catalog and registration system. Academic Advising can help students understand prerequisite sequences, but exceptions require approval from the appropriate academic department.",campus-corpus-0ccec5480a20,word-window-v1
DOC-LIB-001:1.0:c001,DOC-LIB-001,1.0,Library Hours and Access,campus_services,University Library,2026-01-01,https://example.edu/library/hours,1,Library hours vary by academic term and may change during holidays and examination periods. Students should check the current library schedule before visiting. University identification may be required for evening access.,campus-corpus-0ccec5480a20,word-window-v1
DOC-LIB-002:1.0:c001,DOC-LIB-002,1.0,Library Loan Periods,campus_services,University Library,2026-01-01,https://example.edu/library/loans,1,Most print books may be borrowed for twenty-eight days and renewed online if no hold has been placed. Course reserve items have shorter loan periods set by the instructor.,campus-corpus-0ccec5480a20,word-window-v1
DOC-SVC-001:1.2:c001,DOC-SVC-001,1.2,Tutoring and Academic Support,campus_services,Academic Support Center,2026-01-01,https://example.edu/support/tutoring,1,"Peer tutoring and academic support are available for selected courses. Students should use the academic support portal to view subjects, schedules, and appointment options.",campus-corpus-0ccec5480a20,word-window-v1
DOC-SVC-002:1.0:c001,DOC-SVC-002,1.0,Student Wellness Resources,campus_services,Student Wellness Center,2026-01-01,https://example.edu/wellness/resources,1,"Students seeking non-emergency wellness support may contact the Student Wellness Center for appointments and referrals. In an immediate emergency, contact local emergency services or campus safety. The assistant should not provide medical diagnosis.",campus-corpus-0ccec5480a20,word-window-v1
DOC-IT-001:3.0:c001,DOC-IT-001,3.0,Password Reset Support,technical_support,IT Service Desk,2026-01-03,https://example.edu/it/password-reset,1,"Students who cannot access their university account should use the self-service password reset portal. If identity verification fails, contact the IT Service Desk. Never share passwords or multi-factor authentication codes.",campus-corpus-0ccec5480a20,word-window-v1
DOC-IT-002:1.5:c001,DOC-IT-002,1.5,Campus Wi-Fi Support,technical_support,IT Service Desk,2026-01-03,https://example.edu/it/wifi,1,"Students should connect to the secure campus wireless network using their university credentials. If authentication fails, remove the saved network, reconnect, and contact the IT Service Desk if the issue continues.",campus-corpus-0ccec5480a20,word-window-v1
DOC-IT-003:1.4:c001,DOC-IT-003,1.4,IT Service Desk,technical_support,IT Service Desk,2026-01-03,https://example.edu/it/service-desk,1,"The IT Service Desk supports account access, university email, classroom technology, approved software, and student portal issues during published service hours.",campus-corpus-0ccec5480a20,word-window-v1
DOC-EMG-001:2.0:c001,DOC-EMG-001,2.0,Emergency and Campus Safety,emergency,Campus Safety,2026-01-01,https://example.edu/safety/emergency,1,"For an immediate threat to life or safety, contact emergency services first and then campus safety when it is safe to do so. The campus assistant must not attempt to manage an emergency conversation as a normal information request.",campus-corpus-0ccec5480a20,word-window-v1
